specimen;species;biogeo;land;habitat_broad;habitat;SVL;TrL;HL;HW;HH;Lhu;Lun;Lfe;Ltb
1114;Pristurus_abdelkuri;Sokotra;island;rock;rock;31.26;12.89;8.77;5.22;4.7;4.25;4.8;7.02;5.95
1116;Pristurus_abdelkuri;Sokotra;island;rock;rock;32.33;14.43;8.62;5.2;4.04;4.14;5.29;6.23;6.51
1117;Pristurus_abdelkuri;Sokotra;island;rock;rock;35.42;15.17;9.41;5.76;4.5;4.87;6;7.28;6.81
1118;Pristurus_abdelkuri;Sokotra;island;rock;rock;36.03;15.09;9.32;5.97;4.66;4.22;6.6;7.48;6.57
1119;Pristurus_abdelkuri;Sokotra;island;rock;rock;34.33;15.17;8.96;5.39;4.18;4.52;5.94;6.89;6.82
BM1967.501;Pristurus_abdelkuri;Sokotra;island;rock;rock;30.65;12.11;7.91;5.03;4.11;4.3;4.83;6.81;7.12
BM1967.502;Pristurus_abdelkuri;Sokotra;island;rock;rock;35.11;14.54;8.73;5.71;4.77;5.17;5.82;7.85;8
BM99.12.5.126;Pristurus_abdelkuri;Sokotra;island;rock;rock;35.41;15.21;8.54;5.98;4.98;4.53;5.08;6.81;6.91
R-1431-1;Pristurus_abdelkuri;Sokotra;island;rock;rock;34.47;15.03;8.62;6.1;4.94;4.97;5.11;6.5;6.66
R-1431-2;Pristurus_abdelkuri;Sokotra;island;rock;rock;32.47;14.16;7.74;5.3;4.28;4.49;5.21;7.16;6.83
R-1431-3;Pristurus_abdelkuri;Sokotra;island;rock;rock;33.17;14.48;8.27;5.35;4.59;5.06;5.42;7.37;6.58
R-1540-1;Pristurus_abdelkuri;Sokotra;island;rock;rock;34.86;13.87;8.8;5.96;4.83;5.69;5.62;7.54;6.94
R-1541-1;Pristurus_abdelkuri;Sokotra;island;rock;rock;35.42;14.56;8.68;5.43;4.51;5.82;5.9;7.32;7.12
R-1541-2;Pristurus_abdelkuri;Sokotra;island;rock;rock;34.73;14.8;8.36;5.7;4.96;5.27;5.49;6.71;6.85
R-1594-1;Pristurus_abdelkuri;Sokotra;island;rock;rock;35.57;15.9;8.74;6.08;4.41;6.53;5.59;7.55;6.99
R-1594-2;Pristurus_abdelkuri;Sokotra;island;rock;rock;35.77;17.1;9.01;6.02;4.64;5.8;5.56;7.92;7.16
S5486;Pristurus_abdelkuri;Sokotra;island;rock;rock;36.51;15.94;8.69;5.63;4.61;5.81;5.94;7.73;7.82
S5487;Pristurus_abdelkuri;Sokotra;island;rock;rock;33.52;14.18;8.19;5.73;4.41;5.12;5.44;7.08;7.54
