species;biogeo;land;habitat_broad;habitat;SVL;TrL;HL;HW;HH;Lhu;Lun;Lfe;Ltb
Pristurus_abdelkuri;Sokotra;island;rock;rock;34.7676;14.892;8.6328;5.6884;4.492;5.012;5.5728;7.2068;7.0876
Pristurus_adrarensis;Africa;mainland;rock;rock;30.16;13.28;8.02;5.18;3.56;4.7;5.12;6.56;6.66
Pristurus_carteri;Arabia;mainland;ground;hard-ground;55.24254545;24.57;14.37854545;11.19018182;8.339272727;9.614363636;10.98;14.71581818;14.94836364
Pristurus_celerrimus;Arabia;mainland;rock;rock;33.35724138;14.13862069;8.162413793;5.869310345;3.919310345;4.789310345;5.500689655;6.933448276;7.631724138
Pristurus_collaris;Arabia;mainland;ground;hard-ground;43.4592;18.0316;11.356;8.1672;6.0644;8.2828;8.9136;11.558;11.8364
Pristurus_crucifer;Arabia;mainland;ground;soft-ground;31.93611111;13.78166667;7.838888889;5.561944444;4.503611111;5.146944444;5.615;7.329722222;8.333055556
Pristurus_flavipunctatus;Africa;mainland;tree;tree;32.83333333;14.55;7.946666667;5.656666667;4.41;4.783333333;5.92;6.796666667;6.996666667
Pristurus_gallagheri;Arabia;mainland;tree;tree;32.23529412;13.90235294;7.965882353;5.468235294;4.147647059;4.490588235;5.135294118;6.091176471;6.521176471
Pristurus_guichardi;Sokotra;island;tree;tree;32.3875;14.1875;8.798571429;5.5775;4.315714286;4.7225;5.705714286;6.430357143;6.505
Pristurus_insignis;Sokotra;island;rock;rock;53.10888889;22.74166667;13.14333333;8.896111111;6.846666667;9.098333333;11.36277778;12.93333333;13.84055556
Pristurus_insignoides;Sokotra;island;rock;rock;49.33928571;21.135;12.14642857;8.175;6.154285714;7.495714286;9.065;11.08928571;11.225
Pristurus_masirahensis;Arabia;mainland;ground;soft-ground;18.98615385;8.093076923;4.626923077;2.866923077;2.546153846;2.762307692;2.763846154;3.640769231;4.278461538
Pristurus_minimus;Arabia;mainland;ground;soft-ground;24.828;11.2576;6.0988;3.9056;3.266;3.638;3.608;4.7224;5.6012
Pristurus_obsti;Sokotra;island;tree;tree;30.74111111;13.74222222;8.555555556;5.249444444;4.185;4.756666667;5.662222222;6.267222222;6.263333333
Pristurus_ornithocephalus;Arabia;mainland;ground;hard-ground;45.08555556;19.19444444;11.43888889;8.692222222;6.481111111;8.197777778;8.868888889;11.61444444;12.07444444
Pristurus_phillipsii;NA;mainland;ground;soft-ground;27.86090909;11.57090909;7.157272727;5.389090909;4.215454545;3.934545455;4.298181818;5.549090909;6.098181818
Pristurus_popovi;Arabia;mainland;rock;rock;33.69533333;14.63133333;7.975333333;6.423333333;4.198;4.624666667;5.226;6.456666667;6.679333333
Pristurus_rupestris;Arabia;mainland;rock;rock;24.96290909;10.14381818;6.278545455;4.432181818;3.165818182;3.895272727;4.382909091;5.417090909;5.753454545
Pristurus_samhaensis;Sokotra;island;rock;rock;33.53258065;14.55129032;8.729354839;5.440322581;4.497741935;5.760967742;6.094193548;7.500322581;7.941935484
Pristurus_sokotranus;Sokotra;island;rock;rock;34.28111111;14.59977778;8.913111111;5.856666667;4.655777778;4.921777778;5.868222222;6.898888889;7.572
Pristurus_somalicus;Africa;mainland;ground;soft-ground;28.35363636;11.89727273;7.456969697;5.457575758;4.244242424;4.559090909;5.209393939;6.362727273;7.303636364
Pristurus_sp1;Arabia;mainland;rock;rock;24.25857143;10.17696429;6.129285714;4.666785714;3.498214286;3.512678571;3.959107143;4.935357143;5.217857143
Pristurus_sp10;Arabia;mainland;tree;tree;30.78625;13.2425;7.45625;5.480625;4.055625;4.793125;5.65375;6.565625;7.17875
Pristurus_sp11;Arabia;mainland;tree;tree;30.35142857;13.20714286;7.508571429;5.375;4.149285714;4.342857143;5.060714286;5.605;6.101428571
Pristurus_sp12;Sokotra;island;rock;rock;50.96;23.34;11.95;7.98;6.74;8.265;10.925;12.12;13.765
Pristurus_sp2;Arabia;mainland;rock;rock;25.08810811;10.04702703;6.581621622;4.830810811;3.515675676;3.659189189;4.357027027;5.347567568;5.616216216
Pristurus_sp3;Arabia;mainland;rock;rock;25.05318182;10.17068182;6.380909091;4.564090909;3.236590909;3.895681818;4.362727273;5.417272727;5.6325
Pristurus_sp4;Arabia;mainland;rock;rock;23.595;10.095;6.255;4.53;3.065;3.505;3.745;5.035;5.105
Pristurus_sp5;Arabia;mainland;rock;rock;22.84722222;9.032222222;5.980555556;4.191111111;3.172222222;3.620555556;4.083888889;5.051111111;5.182222222
Pristurus_sp9;Arabia;mainland;tree;tree;27.92;13.005;7.07;5.075;3.685;4;4.325;4.875;5.095
