Pristurus_carteri;Pristurus_collaris;Pristurus_crucifer;Pristurus_masirahensis;Pristurus_minimus;Pristurus_ornithocephalus;Pristurus_phillipsii;Pristurus_somalicus;Pristurus_abdelkuri;Pristurus_celerrimus;Pristurus_insignis;Pristurus_insignoides;Pristurus_popovi;Pristurus_rupestris;Pristurus_samhaensis;Pristurus_sokotranus;Pristurus_sp1;Pristurus_sp2;Pristurus_sp3;Pristurus_sp5;Pristurus_gallagheri;Pristurus_guichardi;Pristurus_obsti;Pristurus_sp10;Pristurus_sp11
0;6.31;26.18;5.28;12.71;29.36;8.89;41.49;23.87;9.44;12.42;49.86;13.67;17.19;20.58;7.04;4.42;24.62;18.25;22.61;5.82;8.66;21.95;8.48;7.87
6.31;0;27.06;9.78;13.57;26.46;11.78;38.13;28.08;11.26;13.75;51.83;15.99;19.76;25.18;6.44;10.29;25.01;20.86;25.16;10.45;11.74;20.49;12.51;11.75
26.18;27.06;0;27.17;23.92;31.05;33.75;37.18;43.26;26.94;20.54;40.23;25.85;32.45;38.5;27.96;28.21;20.85;21.51;43.16;26.93;26.11;27.87;28.4;32.92
5.28;9.78;27.17;0;15.74;32.98;7.67;45.3;20.91;13.87;11.59;52.22;17.85;15.34;17.13;11.47;4.67;26.86;19.55;20.75;3.64;8.31;19.54;10.47;8.3
12.71;13.57;23.92;15.74;0;20.74;16.93;37.31;32.68;11.84;14.45;42.68;14;17.91;31.04;9.17;15.51;23.82;16.45;34.46;17.17;12.58;27.65;14.08;15.48
29.36;26.46;31.05;32.98;20.74;0;33.11;30.34;51.34;24.51;29.99;49.41;28.7;36.11;48.25;24.13;33.13;35.16;33.86;47.98;34.06;31.61;36.43;29.19;32.93
8.89;11.78;33.75;7.67;16.93;33.11;0;47.94;20.23;14.7;17.2;55.37;20.12;15.04;17.88;11.34;7.9;32.18;24.07;19.86;9.67;11.64;23.71;10.56;4.59
41.49;38.13;37.18;45.3;37.31;30.34;47.94;0;59.12;37.53;39.17;45.42;35.27;52.13;59.95;38.5;44.85;29.38;38.25;58.11;44.21;42.7;47.92;46.14;46.51
23.87;28.08;43.26;20.91;32.68;51.34;20.23;59.12;0;29.74;28.78;57.26;30.28;25.15;15.47;28.35;19.95;38;30.7;19.57;19.93;22.01;35.28;25.77;19.37
9.44;11.26;26.94;13.87;11.84;24.51;14.7;37.53;29.74;0;17.48;47.87;10.11;23.65;26.19;8.41;11.48;25.4;20.58;26.54;13.51;15.63;28.4;9.77;13.03
12.42;13.75;20.54;11.59;14.45;29.99;17.2;39.17;28.78;17.48;0;47.7;18.85;18.16;26.15;15.63;14.43;20.71;14.75;30.9;12.39;11.19;18.06;18.56;17.58
49.86;51.83;40.23;52.22;42.68;49.41;55.37;45.42;57.26;47.87;47.7;0;39.94;49.91;61.19;48.4;50.44;33.92;35.09;67.29;51.67;46.02;63.01;51.01;51.67
13.67;15.99;25.85;17.85;14;28.7;20.12;35.27;30.28;10.11;18.85;39.94;0;24.74;28.94;13.23;14.85;18.2;14.17;31.21;16.89;16.57;33.06;16.11;16.89
17.19;19.76;32.45;15.34;17.91;36.11;15.04;52.13;25.15;23.65;18.16;49.91;24.74;0;23.87;18.32;16.96;31.79;20.75;31.32;18.36;13.33;25.54;18.56;15.22
20.58;25.18;38.5;17.13;31.04;48.25;17.88;59.95;15.47;26.19;26.15;61.19;28.94;23.87;0;26.52;16.89;38.5;30.78;12.46;16.9;23.06;28.2;20.22;18.74
7.04;6.44;27.96;11.47;9.17;24.13;11.34;38.5;28.35;8.41;15.63;48.4;13.23;18.32;26.52;0;10.38;25.57;19.7;27.39;12.5;11.05;25.44;10.11;9.82
4.42;10.29;28.21;4.67;15.51;33.13;7.9;44.85;19.95;11.48;14.43;50.44;14.85;16.96;16.89;10.38;0;26.33;19.11;19.81;4.31;9.1;23.74;8.41;6.25
24.62;25.01;20.85;26.86;23.82;35.16;32.18;29.38;38;25.4;20.71;33.92;18.2;31.79;38.5;25.57;26.33;0;12.63;42.21;25.63;23.38;34.25;30.39;29.8
18.25;20.86;21.51;19.55;16.45;33.86;24.07;38.25;30.7;20.58;14.75;35.09;14.17;20.75;30.78;19.7;19.11;12.63;0;37.16;19.46;15.25;30.8;22.83;21.63
22.61;25.16;43.16;20.75;34.46;47.98;19.86;58.11;19.57;26.54;30.9;67.29;31.21;31.32;12.46;27.39;19.81;42.21;37.16;0;19.6;27.37;30.41;22.37;21
5.82;10.45;26.93;3.64;17.17;34.06;9.67;44.21;19.93;13.51;12.39;51.67;16.89;18.36;16.9;12.5;4.31;25.63;19.46;19.6;0;9.3;20.98;11.52;9.4
8.66;11.74;26.11;8.31;12.58;31.61;11.64;42.7;22.01;15.63;11.19;46.02;16.57;13.33;23.06;11.05;9.1;23.38;15.25;27.37;9.3;0;23.64;14.02;9.99
21.95;20.49;27.87;19.54;27.65;36.43;23.71;47.92;35.28;28.4;18.06;63.01;33.06;25.54;28.2;25.44;23.74;34.25;30.8;30.41;20.98;23.64;0;25.98;26.61
8.48;12.51;28.4;10.47;14.08;29.19;10.56;46.14;25.77;9.77;18.56;51.01;16.11;18.56;20.22;10.11;8.41;30.39;22.83;22.37;11.52;14.02;25.98;0;9.58
7.87;11.75;32.92;8.3;15.48;32.93;4.59;46.51;19.37;13.03;17.58;51.67;16.89;15.22;18.74;9.82;6.25;29.8;21.63;21;9.4;9.99;26.61;9.58;0
