species;hab;cor_head;angle_head;cor_limb;angle_limb
Pristurus_carteri;ground;0.958167084;16.6311557;0.992655545;6.948380395
Pristurus_collaris;ground;0.955385393;17.17924971;0.980786693;11.2495852
Pristurus_crucifer;ground;0.890644695;27.04562899;0.969068058;14.28785692
Pristurus_masirahensis;ground;0.876388099;28.79031516;0.991930041;7.283930598
Pristurus_minimus;ground;0.950173375;18.16303226;0.971650258;13.6755112
Pristurus_ornithocephalus;ground;0.923835407;22.50660561;0.960473812;16.16296663
Pristurus_phillipsii;ground;0.975692745;12.6587039;0.995663539;5.337801372
Pristurus_somalicus;ground;0.98832956;8.762025611;0.775247998;39.17247769
Pristurus_abdelkuri;rock;0.96020987;16.21720408;0.991281201;7.571501437
Pristurus_celerrimus;rock;0.993003702;6.781492793;0.972859937;13.37920191
Pristurus_insignis;rock;0.969070968;14.28718119;0.945455984;19.01101222
Pristurus_insignoides;rock;0.963365761;15.55664898;0.34522579;69.80442057
Pristurus_popovi;rock;0.988230962;8.799033535;0.888811143;27.27576627
Pristurus_rupestris;rock;0.927841884;21.89913516;0.938899236;20.1324884
Pristurus_samhaensis;rock;0.921495595;22.85428362;0.976949384;12.32584429
Pristurus_sokotranus;rock;0.985566378;9.746508301;0.979675214;11.57148123
Pristurus_sp1;rock;0.980424931;11.35534379;0.984051741;10.24644359
Pristurus_sp2;rock;0.977639246;12.13929462;0.779446285;38.79009427
Pristurus_sp3;rock;0.993864683;6.350068884;0.864687339;30.15297742
Pristurus_sp5;rock;0.88480887;27.77199004;0.950184834;18.16092588
Pristurus_gallagheri;tree;0.977361558;12.21472332;0.979614641;11.58877045
Pristurus_guichardi;tree;0.899535301;25.9029483;0.985155005;9.884765859
Pristurus_obsti;tree;0.929404313;21.65785215;0.80784822;36.11377372
Pristurus_sp10;tree;0.979250329;11.69222227;0.98754613;9.05193761
Pristurus_sp11;tree;0.972832447;13.38600717;0.990428699;7.93359673
